year,n_households,weighted_mean_hhsize,weighted_poverty_rate,weighted_matdep_rate,unweighted_pct_baseline_sim_data_ok,unweighted_pct_has_household_composition,unweighted_pct_has_labour_composition,unweighted_pct_has_complete_age_composition,unweighted_pct_responsible_person_proxy_available
2017,13740,2.488563081118746,20.534329323283764,4.964498630723787,100.0,100.0,100.0,100.0,100.0
2018,13368,2.4901831915101296,20.466722754673572,5.355173224153973,100.0,100.0,100.0,100.0,99.99251944943148
2019,15887,2.4941955028233065,19.46075754435742,4.629035432436124,100.0,100.0,100.0,100.0,100.0
2020,15043,2.4967866298183763,20.523103061120047,6.5177284061745695,100.0,100.0,100.0,100.0,100.0
2021,21007,2.4901072347279043,21.455955911185047,7.276611011409309,100.0,100.0,100.0,100.0,99.99523968201076
2022,24313,2.4766091546587528,20.342783895884057,7.755367281884955,100.0,100.0,100.0,100.0,100.0
2023,27227,2.4727499996770854,20.063336797435056,8.501203553959808,100.0,100.0,100.0,100.0,100.0
2024,29781,2.4985711085547138,19.363937627055122,7.9613104586498356,100.0,100.0,100.0,100.0,100.0
